Designator,Val,Package,Mid X,MidY,Rotation,Layer
C1,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.99839,-85.977162,180,top
C2,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.702997,-88.81574,-135,top
C3,10NF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.00319,-87.000768,0,top
C4,0.1UF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.7249,-81.891401,180,top
C5,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.1824,-61.6436,180,top
C6,10NF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.1844,-62.664,0,top
C7,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.889332,-64.54692,-135,top
C8,0.1UF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.898016,-57.615537,180,top
C9,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.814,-60.19,180,top
C10,220uF,C_Elec_8x10.2,138.335605,-61.085748,180,top
C11,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.814,-61.998,180,top
C12,10uF,C_0603_1608Metric,145.546,-60.456001,-90,top
C13,10uF,C_0603_1608Metric,146.614073,-63.148198,0,top
C14,.1uF,C_0603_1608Metric,147.186,-60.456,-90,top
C15,.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.772,-69.528,180,top
C16,.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,140.97,-66.046001,0,top
C17,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.837681,-67.110309,135,top
C18,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.402,-79.712,0,top
C19,DNP,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.181754,-81.621328,135,top
C20,DNP,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.112541,-84.436541,135,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.430395,-85.053911,45,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.472836,-83.056618,45,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.688873,-81.098995,45,top
J3,I2C_STANDARDQWIIC,1X04_1MM_RA,144.332773,-90.985775,0,top
J5,I2C_STANDARDQWIIC,1X04_1MM_RA,136.43052,-91.07568,0,top
J6,~,PTS526SM08SMTR2LFS,152.874197,-91.152726,90,top
J7,~,PTS526SM08SMTR2LFS,174.934,-91.138,90,top
J11,USB4520-03-0-A_REVA,GCT_USB4520-03-0-A_REVA,164.37,-95.15,0,top
J12,BM05B-SRSS-TB_LF__SN_,JST_BM05B-SRSS-TB_LF__SN_,120.035,-77.825,180,top
J13,BM05B-SRSS-TB_LF__SN_,JST_BM05B-SRSS-TB_LF__SN_,120.03757,-71.826563,180,top
L1,SRP3212A-4R7M,L_Changjiang_FNR5020S,148.325358,-71.657369,-135,top
R1,R_Shunt_US,RESC1608X55N,121.952301,-88.288832,180,top
R2,R_Shunt_US,RESC1608X55N,121.966183,-82.673249,180,top
R3,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.923006,-75.214927,-90,top
R4,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.516133,-75.209531,-90,top
R5,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,131.909969,-69.464389,90,top
R6,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.819775,-75.224444,-90,top
R7,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.052632,-69.460817,90,top
R8,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.252962,-75.208475,-90,top
R9,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.769483,-69.467106,90,top
R10,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.472512,-69.461331,90,top
R11,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.669287,-75.214236,-90,top
R12,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,134.19294,-69.461909,90,top
R13,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.395397,-75.206428,-90,top
R14,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.331749,-69.463466,90,top
R15,R_Shunt_US,RESC1608X55N,122.042299,-63.932415,180,top
R16,R_Shunt_US,RESC1608X55N,122.057923,-58.313966,180,top
R17,54.9k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,146.84,-64.472,0,top
R18,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.274867,-67.883996,90,top
R19,54.9k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.485388,-67.860515,90,top
R20,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,161.779057,-85.052672,-45,top
R21,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,162.603569,-84.194141,-45,top
R22,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.335158,-86.282843,180,top
R23,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,158.932661,-87.723495,0,top
R24,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,170.044956,-87.745727,180,top
R25,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,173.183968,-82.714817,180,top
R26,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,175.632364,-81.603353,0,top
R27,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,175.633036,-80.395264,0,top
R28,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,147.81175,-89.929808,180,top
R29,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.83765,-88.987791,0,top
R30,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,156.723042,-60.951969,-90,top
R31,5k1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,125.669969,-74.246958,0,top
R32,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.326963,-87.422886,180,top
R33,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.3276,-85.160104,180,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,167.64,-67.52,0,top
U2,TMC6300,TMC6300 3x3mm,125.9316,-61.1364,90,top
U3,INA2181,INA2181_VSSOP_10,130.479524,-85.526458,90,top
U4,INA2181,INA2181_VSSOP_10,130.570599,-61.1704,90,top
U5,TMC6300,TMC6300 3x3mm,125.839938,-85.494093,90,top
U6,AZ1117C,SOT-89-3,167.640001,-82.804,90,top
U7,TPS562208,SOT-23-6_Handsoldering,144.506,-66.984001,180,top